name,agency_type,city ,state,website_url,nextrequest_url,ipra_email,phone,fax,notes
City of Albuquerque,City Government,Albuquerque,New Mexico,https://www.cabq.gov/,https://nextrequest.cabq.gov/,cityclerkipra@cabq.gov,505-924-3650,505-768-2845,"Accepted submission methods: Online Portal, Email, Fax, Mail, In Person. Official City Clerk is the chief records custodian."
City of Las Cruces,City Government,Las Cruces,New Mexico,https://lascruces.gov/,https://lascrucesnm.govqa.us/WEBAPP/_rs/(S(btwp451aazb4dx3qu0qt3lbs))/supporthome.aspx,ipra@lascruces.gov,575-541-2112,575-541-2117,"Accepted submission methods: Online Portal, Email, Fax, Mail, In Person.                              Mailing Address:                     Christine Rivera, City Clerk
City of Las Cruces
Address: P.O. Box 20000, Las Cruces, NM, 88004"
City of Rio Rancho,City Government,Rio Rancho,New Mexico,https://rrnm.gov/,https://cityofrioranchonm.nextrequest.com/,clerk@rrnm.gov,505-891-5004,505-994-2557,"Accepted submission methods: Online Portal, Email, Mail, and In -Person Mailing Address:                      Office of the City Clerk, 3200 Civic Center Circle NE, Suite 150, Rio Rancho, New Mexico 87144"
Sandoval County,County Government,Bernalillo,New Mexico,https://www.sandovalcountynm.gov/,https://www.sandovalcountynm.gov/Public-Records-Request/,wjohnson@sandovalcountynm.gov,505-867-7551,,"Accepted submission methods: Online Portal, Email"
Santa Fe County,County Government,Santa Fe,New Mexico,https://www.santafecountynm.gov/,https://santafecountynm.nextrequest.com/,recordscustodian@santafecountynm.gov,505-986-6279,,"Accepted submission methods: Online Portal, Mail, and Email                    Mailing Address:                   Santa Fe County Attorney’s Office
P.O. Box 276 – 102 Grant Avenue, 2nd Floor
Santa Fe, NM 87504-0276"
Albuquerque Public Schools,School District,Albuquerque,New Mexico,https://www.aps.edu/,https://aps.nextrequest.com/,custodianofrecords@aps.edu,505-855-9040,505-253-9066,"Accepted submission methods: Online Portal, Fax, Mail, In Person.                                                               Mailing Address:
APS Custodian of Public Records
P.O. Box 25704
Albuquerque, NM 87125     In-Person Delivery Address:
APS Custodian of Records Office
6400 Uptown Blvd. NE
Albuquerque, NM 87110"
Rio Rancho Public Schools,School District,Rio Rancho,New Mexico,https://www.rrps.net/,https://rrpsnm.justfoia.com/publicportal/home/newrequest,melissa.teller@rrps.net,505-962-1179,505-896-7827,"Accepted submission methods: Online Portal,  Mail.                                 Mailing Address:         Melissa Teller
500 Laser Rd. NE
Rio Rancho, NM, 87124"
Sandoval County Sheriff's Office,Sheriff Office,Bernalillo,New Mexico,https://www.sandovalcountynm.gov/elected-officials/scso/,https://www.sandovalcountynm.gov/Public-Records-Request/,jcastaneda@sandovalcountynm.gov,,,"Accepted submission methods: Online Portal, Email"
Santa Fe County Sheriff's Office,Sheriff Office,Santa Fe,New Mexico,https://www.santafecountynm.gov/sheriff,https://www.santafecountynm.gov/sheriff/sheriffs-divisions,shfrecordsreq@santafecountynm.gov,505-986-2455,505-986-2410,"Accepted submission methods: Mail and Email         Mailing Address:                   Santa Fe County Sheriff’s Office
35 Camino Justicia
Santa Fe, NM 87508          "
New Mexico Department of Finance and Administration,State Agency,Santa Fe,New Mexico,https://www.nmdfa.state.nm.us/,https://www.nmdfa.state.nm.us/legal/ipra-request/,dfaipra.request@dfa.nm.gov,,,"Accepted submission methods: Online Portal, Mail, and Email                    Mailing Address:                     DFA Office of the Secretary
407 Galisteo Street
Santa Fe, NM 87501    "
New Mexico Department of Workforce Solutions,State Agency,Santa Fe,New Mexico,https://www.dws.state.nm.us/,https://www.dws.state.nm.us/Inspection-of-Public-Records-Act,ipra.workforce@dws.nm.gov,505-841-8475,,"Accepted submission methods: Mail, and Email   Mailing Address:                    Records Custodian for the Department of Workforce Solutions                                  New Mexico Department of Workforce Solutions
Office of General Counsel
Attn: Records Custodian
P.O. Box 1928
Albuquerque, NM 87103"
New Mexico State Land Office,State Agency,Santa Fe,New Mexico,https://www.nmstatelands.org/,https://www.nmstatelands.org/ipra-request/,SLO.IPRA@nmslo.gov,505-827-5721,,"Accepted submission methods: Mail, and Email      Mailing Address:                     NM State Land Office, 310 Old Santa Fe Trail, P.O. Box 1148, Santa Fe, NM 87504"
New Mexico Institute of Mining and Technology,University,Socorro,New Mexico,https://www.nmt.edu/,https://www.nmt.edu/foia/,foi@nmt.edu,575-835-5374,,"Accepted submission methods: Online Portal, Mail, and Email                        Mailing Address:                    Melissa Tull, Controller
Custodian of Public Records
Wells Hall Room 106A
New Mexico Tech
801 Leroy Place
Socorro, NM 87801"
New Mexico State University,University,Las Cruces,New Mexico,https://www.nmsu.edu/,https://nmsuedu.justfoia.com/publicportal/home/newrequest,IPRA@nmsu.edu,575-646-2446,575-646-1469,"Accepted submission methods: Online Portal, Mail, Fax, Email and In-Person                                         Mailing Address:                                      Anna Herrera
New Mexico State University
MSC 3UGC, PO Box 30001 Las Cruces, NM 88003-8001 
IPRA@NMSU.EDU"
